Country,Estimated Cat Population,Latitude,Longitude
United States,74210000,37.090240,-95.712891
China,53100000,35.861660,104.195396
Russia,23150000,61.524010,105.318756
France,14900000,46.227638,2.213749
Germany,15200000,51.165691,10.451526
Brazil,13000000,-14.235004,-51.92528
United Kingdom,12200000,55.378051,-3.435973
Italy,10500000,41.87194,12.56738
India,10000000,20.593684,78.96288
Japan,9600000,36.204824,138.252924
Ukraine,7900000,48.379433,31.16558
Canada,7400000,56.130366,-106.346771
Mexico,7000000,23.634501,-102.552784
Poland,6600000,51.919438,19.145136
Spain,6400000,40.463667,-3.74922
Pakistan,5000000,30.375321,69.345116
Bangladesh,4000000,23.684994,90.356331
Australia,3900000,-25.274398,133.775136
Argentina,3200000,-38.416097,-63.616672
Netherlands,3000000,52.132633,5.291266
