Country,Estimated Cat Population,Latitude,Longitude
Afghanistan,300000,33.93911,67.709953
Albania,300000,41.153332,20.168331
Algeria,1500000,28.033886,1.659626
Argentina,3200000,-38.416097,-63.616672
Armenia,400000,40.069099,45.038189
Australia,3900000,-25.274398,133.775136
Austria,1800000,47.516231,14.550072
Azerbaijan,800000,40.143105,47.576927
Bangladesh,4000000,23.684994,90.356331
Belarus,700000,53.709807,27.953389
Belgium,2200000,50.503887,4.469936
Bosnia and Herzegovina,300000,43.915886,17.679076
Botswana,150000, -22.328474,24.684866
Brazil,13000000,-14.235004,-51.92528
Bulgaria,600000,42.733883,25.48583
Cameroon,300000,7.369722,12.354722
Canada,7400000,56.130366,-106.346771
Chile,700000,-35.675147,-71.542969
China,53100000,35.86166,104.195397
Croatia,700000,45.1,15.2
Cyprus,200000,35.126413,33.429859
Czech Republic,1200000,49.817492,15.472962
Denmark,1100000,56.26392,9.501785
Egypt,2500000,26.820553,30.802498
Estonia,300000,58.595272,25.013607
Ethiopia,1000000,9.145,40.489673
Fiji,100000, -16.578193,179.414413
Finland,1100000,61.92411,25.748151
France,14900000,46.227638,2.213749
Georgia,500000,42.315407,43.356892
Germany,15200000,51.165691,10.451526
Ghana,500000,7.946527,-1.023194
Greece,1600000,39.074208,21.824312
Hungary,1300000,47.162494,19.503304
Iceland,20000,64.963051,-19.020835
India,10000000,20.593684,78.96288
Indonesia,2500000,-0.789275,113.921327
Iran,2000000,32.427908,53.688046
Iraq,500000,33.223191,43.679291
Ireland,800000,53.41291,-8.24389
Israel,1000000,31.046051,34.851612
Italy,10500000,41.87194,12.56738
Ivory Coast,400000,7.539989,-5.54708
Japan,9600000,36.204824,138.252924
Jordan,300000,30.585164,36.238414
Kazakhstan,2000000,48.019573,66.923684
Kenya,1000000,-0.023559,37.906193
Kosovo,100000,42.602636,20.902977
Kyrgyzstan,500000,41.20438,74.766098
Latvia,400000,56.879635,24.603189
Lebanon,400000,33.854721,35.862285
Libya,500000,26.3351,17.228331
Lithuania,500000,55.169438,23.881275
Luxembourg,200000,49.815273,6.129583
Madagascar,300000,-18.766947,46.869107
Malaysia,2000000,4.210484,101.975766
Malta,50000,35.937496,14.375416
Mexico,7000000,23.634501,-102.552784
Moldova,400000,47.411631,28.369885
Montenegro,200000,42.708678,19.37439
Morocco,1000000,31.791702,-7.09262
Namibia,100000, -22.95764,18.49041
Nepal,200000,28.394857,84.124008
Netherlands,3000000,52.132633,5.291266
New Zealand,900000,-40.900557,174.885971
Nigeria,3000000,9.081999,8.675277
North Macedonia,300000,41.608635,21.745275
Norway,1000000,60.472024,8.468946
Pakistan,5000000,30.375321,69.345116
Papua New Guinea,200000,-6.314993,143.95555
Philippines,1000000,12.879721,121.774017
Poland,6600000,51.919438,19.145136
Portugal,1300000,39.399872,-8.224454
Romania,1500000,45.943161,24.96676
Russia,23150000,61.52401,105.318756
Saudi Arabia,1500000,23.885942,45.079162
Serbia,600000,44.016521,21.005859
Slovakia,800000,48.669026,19.699024
Slovenia,500000,46.151241,14.995463
South Africa,900000,-30.559482,22.937506
South Korea,2000000,35.907757,127.766922
Spain,6400000,40.463667,-3.74922
Sri Lanka,300000,7.873054,80.771797
Sweden,1800000,60.128161,18.643501
Switzerland,1400000,46.818188,8.227512
Syria,300000,34.802075,38.996815
Tajikistan,400000,38.861034,71.276093
Tanzania,700000,-6.369028,34.888822
Thailand,3000000,15.870032,100.992541
Tunisia,600000,33.886917,9.537499
Turkey,2400000,38.963745,35.243322
Turkmenistan,700000,38.969719,59.556278
Ukraine,7900000,48.379433,31.16558
United Arab Emirates,1000000,23.424076,53.847818
United Kingdom,12200000,55.378051,-3.435973
United States,74210000,37.09024,-95.712891
Uzbekistan,1000000,41.377491,64.585262
Vietnam,700000,14.058324,108.277199
Zambia,250000, -13.133897,27.849332
Zimbabwe,350000,-19.015438,29.154857
